element,subelement,rarnum,season_id,name,s,f,state,conc,mapping_qu,g_source,s_source,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,nesting,migrating,molting,hatching,spawning,eggs,larvae,juveniles,adults,mating,calving,pupping,internesti
BIRD,waterfowl,75,0,Scaup,,,,10S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,86,0,Long-tailed duck,,,,10S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,86,0,Mergansers,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,89,0,Hooded merganser,,,,HIGH,WINTERING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,89,0,Hooded merganser,,,,POSSIBLE,NESTING,401,401,,X,X,X,X,X,X,X,X,X,X,,FEB-JUN,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,89,0,Mottled duck,,,,HIGH,GENERAL DISTRIBUTION,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,89,0,Mottled duck,,,,POSSIBLE,NESTING,401,401,,X,X,X,X,X,X,X,X,X,,,FEB-JUN,-,JUL-AUG,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,89,0,Teals,,,,HIGH,WINTERING,401,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,American coot,,,,100S,WINTERING,402,401,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Blue-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Dabbling ducks,,,,10S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Diving ducks,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Gadwall,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Green-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Hooded merganser,,,,HIGH,WINTERING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Hooded merganser,,,,POSSIBLE,NESTING,401,401,,X,X,X,X,X,X,X,X,X,X,,FEB-JUN,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Mergansers,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Northern shoveler,,,,10S,WINTERING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Ring-necked duck,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Wood duck,,,,',NESTING,401,401,X,X,X,X,X,X,X,,,,,,JAN-JUL,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,235,0,Wood duck,,,,HIGH,WINTERING,401,401,X,X,X,,,,,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,236,0,Bufflehead,,,,HIGH,RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,236,0,Mergansers,,,,HIGH,RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,236,0,Scaup,,,,HIGH,RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,237,0,Scaup,,,,"10,000S",RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,237,0,Scoters,,,,"10,000S",RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,238,0,Diving ducks,,,,100S,RAFTING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,238,0,Scaup,,,,100S,RAFTING,401,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
